name,category
"Brick",1
"Brick, Braille",1
"Brick, Decorated",1
"Brick, Modified",1
"Brick, Modified, Decorated",1
"Brick, Promotional",1
"Brick, Round",1
"Brick, Round, Decorated",1
Plate,1
"Plate, Decorated",1
"Plate, Modified",1
"Plate, Modified, Decorated",1
"Plate, Round",1
"Plate, Round, Decorated",1
Tile,2
"Tile, Decorated",2
"Tile, Modified",2
"Tile, Modified, Decorated",2
"Tile, Promotional",2
"Tile, Round",2
"Tile, Round, Decorated",2
Slope,2
"Slope, Curved",2
"Slope, Curved, Decorated",2
"Slope, Decorated",2
"Slope, Inverted",2
"Slope, Inverted, Decorated",2
"Minifigure, Body Part",3
"Minifigure, Body Wear",3
"Minifigure, Hair",3
"Minifigure, Head",3
"Minifigure, Head, Modified",3
"Minifigure, Headgear",3
"Minifigure, Headgear Accessory",3
"Minifigure, Legs",3
"Minifigure, Legs, Decorated",3
"Minifigure, Legs, Modified",3
"Minifigure, Legs, Modified, Decorated",3
"Minifigure, Shield",3
"Minifigure, Torso",3
"Minifigure, Torso Assembly",3
"Minifigure, Torso Assembly, Decor.",3
"Minifigure, Utensil",3
"Minifigure, Utensil, Decorated",3
"Minifigure, Weapon",3
"Animal, Accessory",3
"Animal, Air",3
"Animal, Body Part",3
"Animal, Body Part, Decorated",3
"Animal, Dinosaur",3
"Animal, Land",3
"Animal, Water",3
"Micro Doll, Body Part",3
"Mini Doll, Body Part",3
"Mini Doll, Body Wear",3
"Mini Doll, Hair",3
"Mini Doll, Head",3
"Mini Doll, Head, Modified",3
"Mini Doll, Headgear",3
"Mini Doll, Legs",3
"Mini Doll, Torso",3
"Mini Doll, Utensil",3
Technic,4
"Technic, Axle",4
"Technic, Brick",4
"Technic, Connector",4
"Technic, Disk",4
"Technic, Figure Accessory",4
"Technic, Flex Cable",4
"Technic, Gear",4
"Technic, Liftarm",4
"Technic, Liftarm, Decorated",4
"Technic, Link",4
"Technic, Panel",4
"Technic, Panel, Decorated",4
"Technic, Pin",4
"Technic, Plate",4
"Technic, Shock Absorber",4
"Technic, Steering",4
Vehicle,5
"Vehicle, Base",5
"Vehicle, Mudguard",5
"Vehicle, Mudguard, Decorated",5
Wheel,5
Wheel & Tire Assembly,5
"Wheel, Accessory",5
"Wheel, Tire & Tread",5
Train,5
"Train, Track",5
Aircraft,5
"Aircraft, Decorated",5
Boat,5
Window,6
"Window, Decorated",6
"Window, Glass & Shutter",6
"Window, Glass & Shutter, Decorated",6
Door,6
"Door, Decorated",6
"Door, Frame",6
Arch,6
"Arch, Decorated",6
Panel,6
"Panel, Decorated",6
Antenna,7
Arm,7
Ball,7
Bar,7
Baseplate,7
"Baseplate, Raised",7
"Baseplate, Road",7
Bracket,7
Chain,7
Classic,7
Clikits,7
"Clikits, Icon",7
"Clikits, Icon Accent",7
Cloth,7
Cockpit,7
Cone,7
"Cone, Decorated",7
Container,7
"Container, Decorated",7
Conveyor,7
Crane,7
Cylinder,7
"Cylinder, Decorated",7
Dish,7
"Dish, Decorated",7
Electric,7
"Electric, Battery Box",7
"Electric, Light & Sound",7
"Electric, Motor",7
"Electric, Programmable",7
"Electric, Train",7
"Electric, Wire & Connector",7
Electronics,7
Energy Effect,7
Explore,7
Fabuland,7
Felt,7
Fence,7
Flag,7
"Flag, Decorated",7
Foam,7
Food & Drink,7
Friends,7
Galidor,7
Garage,7
Hero Factory,7
Hinge,7
"Hinge, Decorated",7
HO 1:87 Vehicles,7
Homemaker,7
Hook,7
Hose,7
"Hose, Pneumatic 4mm D.",7
"Hose, Ribbed 7mm D.",7
"Hose, Rigid 3mm D.",7
"Hose, Soft 3mm D.",7
"Hose, Soft Axle",7
Human Jewelry,7
Human Tool,7
Jumbo Bricks,7
Ladder,7
Large Figure Part,7
Magnet,7
Minitalia,7
Modulex,7
"Modulex, Brick",7
"Modulex, Tile, Decorated",7
"Modulex, Window",7
Monorail,7
"Motor, Non-Electric",7
Paper,7
Plant,7
"Plant, Tree",7
Plastic,7
Pneumatic,7
Primo,7
Projectile Launcher,7
Propeller,7
Quatro,7
Riding Cycle,7
Ring,7
Road Sign,7
"Road Sign, Decorated",7
Rock,7
Roof,7
Rubber Band & Belt,7
Scala,7
"Scala, Figure Accessory",7
Slide,7
Soft Bricks,7
Special Assembly,7
Sports,7
Spring,7
Stairs,7
Sticker Sheet,7
Stickered Assembly,7
String & Net,7
String Reel / Winch,7
Support,7
Tail,7
"Tail, Decorated",7
Tap,7
Throwing Disk,7
Town Plan,7
Track System,7
Turntable,7
Windscreen,7
"Windscreen, Decorated",7
Wing,7
Znap,7

(Other),7
"Aircraft, Decorated",7
"Animal, Accessory",7
"Animal, Air",7
"Animal, Body Part",7
"Animal, Body Part, Decorated",7
"Animal, Dinosaur",7
"Animal, Land",7
"Animal, Water",7
Antenna,7
Arch,7
"Arch, Decorated",7
Arm,7
Ball,7
Bar,7
Baseplate,7
"Baseplate, Raised",7
"Baseplate, Road",7
Belville,7
"Belville, Figure Accessory",7
Boat,7
Bracket,7
Brick,7
"Brick, Braille",7
"Brick, Decorated",7
"Brick, Modified",7
"Brick, Modified, Decorated",7
"Brick, Promotional",7
"Brick, Round",7
"Brick, Round, Decorated",7
Cardboard Sleeve,7
Chain,7
Classic,7
Clikits,7
"Clikits, Icon",7
"Clikits, Icon Accent",7
Cloth,7
Cockpit,7
Cone,7
"Cone, Decorated",7
Container,7
"Container, Decorated",7
Conveyor,7
Crane,7
Cylinder,7
"Cylinder, Decorated",7
Dish,7
"Dish, Decorated",7
Door,7
"Door, Decorated",7
"Door, Frame",7
Electric,7
"Electric, Battery Box",7
"Electric, Light & Sound",7
"Electric, Motor",7
"Electric, Programmable",7
"Electric, Train",7
"Electric, Wire & Connector",7
Electronics,7
Energy Effect,7
Explore,7
Fabuland,7
Felt,7
Fence,7
Flag,7
"Flag, Decorated",7
Foam,7
Food & Drink,7
Friends,7
Galidor,7
BIONICLE,8
"BIONICLE, Kanohi Mask",8
